Name,MAE Full Random,MRE Full Verbatim,MRE Checkerboard,MRE Patches,MRE Long Range
MHV($d=1 \comma r=1$),0.0,0.0,0.555,0.093,0.9
MHV($d=2 \comma r=2$),0.0,0.0,0.464,0.104,0.899
MHV($d=1 \comma r=2$),0.0,0.0,0.446,0.107,0.899
MHV($d=2 \comma r=1$),0.0,0.0,0.555,0.093,0.9
TNA($r=1 \comma T=0.001$),0.0,0.0,0.333,0.005,0.665
TNA($r=2 \comma T=0.001$),0.0,0.0,0.0,0.003,0.32
TNA($r=3 \comma T=0.001$),0.001,0.0,0.0,0.004,0.099
TNA($r=3 \comma T=100m_{nh}$),0.001,0.0,0.0,0.004,0.099
TNA($r=r_{max} \comma T=0.1$),0.0,0.0,0.0,1.0,0.557
TNA($r=r_{max} \comma T=0.01$),0.0,0.0,0.0,0.137,0.0
TNA($r=r_{max} \comma T=0.001$),0.0,0.0,0.0,0.001,0.0
TNA($r=r_{max} \comma T=10m_{nh}$),0.0,0.0,0.0,0.001,0.0
TNA($r=r_{max} \comma T=100m_{nh}$),0.0,0.0,0.0,0.137,0.0
